fecha,billete_compra,billete_venta,divisa_compra,divisa_venta
2018-01-01,18.4,18.9,18.549,18.649
2018-01-02,18.15,18.65,18.31,18.41
2018-01-03,18.2,18.7,18.345,18.445
2018-01-04,18.4,18.9,18.53,18.63
2018-01-05,18.6,19.1,18.76,18.86
2018-01-06,18.6,19.1,18.76,18.86
2018-01-07,18.6,19.1,18.76,18.86
2018-01-08,18.8,19.3,18.93,19.03
2018-01-09,18.7,19.2,18.83,18.93
2018-01-10,18.35,18.85,18.52,18.62
2018-01-11,18.45,18.95,18.61,18.71
2018-01-12,18.45,18.95,18.59,18.69
2018-01-13,18.45,18.95,18.59,18.69
2018-01-14,18.45,18.95,18.59,18.69
2018-01-15,18.5,19,18.67,18.77
2018-01-16,18.65,19.15,18.8,18.9
2018-01-17,18.6,19.1,18.75,18.85
2018-01-18,18.6,19.1,18.77,18.87
2018-01-19,18.75,19.25,18.895,18.995
2018-01-20,18.75,19.25,18.895,18.995
2018-01-21,18.75,19.25,18.895,18.995
2018-01-22,18.85,19.35,19.046,19.146
2018-01-23,19.1,19.6,19.235,19.335
2018-01-24,19.4,19.9,19.55,19.65
2018-01-25,19.3,19.8,19.46,19.56
2018-01-26,19.3,19.8,19.47,19.57
2018-01-27,19.3,19.8,19.47,19.57
2018-01-28,19.3,19.8,19.47,19.57
2018-01-29,19.3,19.8,19.48,19.58
2018-01-30,19.35,19.85,19.535,19.635
2018-01-31,19.4,19.9,19.55,19.65
2018-02-01,19.15,19.65,19.28,19.38
2018-02-02,19.25,19.75,19.395,19.495
2018-02-03,19.25,19.75,19.395,19.495
2018-02-04,19.25,19.75,19.395,19.495
2018-02-05,19.25,19.75,19.38,19.48
2018-02-06,19.35,19.85,19.46,19.56
2018-02-07,19.4,19.9,19.595,19.695
2018-02-08,19.7,20.2,19.87,19.97
2018-02-09,19.75,20.25,19.88,19.98
2018-02-10,19.75,20.25,19.88,19.98
2018-02-11,19.75,20.25,19.88,19.98
2018-02-12,19.75,20.25,19.88,19.98
2018-02-13,19.75,20.25,19.88,19.98
2018-02-14,19.65,20.15,19.8,19.9
2018-02-15,19.45,19.95,19.56,19.66
2018-02-16,19.5,20,19.66,19.76
2018-02-17,19.5,20,19.66,19.76
2018-02-18,19.5,20,19.66,19.76
2018-02-19,19.65,20.15,19.8,19.9
2018-02-20,19.6,20.1,19.75,19.85
2018-02-21,19.65,20.15,19.825,19.925
2018-02-22,19.7,20.2,19.85,19.95
2018-02-23,19.7,20.2,19.88,19.98
2018-02-24,19.7,20.2,19.88,19.98
2018-02-25,19.7,20.2,19.88,19.98
2018-02-26,19.95,20.45,20.1,20.2
2018-02-27,19.95,20.45,20.1,20.2
2018-02-28,19.85,20.35,20.01,20.11
2018-03-01,19.9,20.4,20.051,20.151
2018-03-02,20,20.5,20.17,20.27
2018-03-03,20,20.5,20.17,20.27
2018-03-04,20,20.5,20.17,20.27
2018-03-05,19.95,20.45,20.11,20.21
2018-03-06,20.1,20.6,20.24,20.34
2018-03-07,20.15,20.65,20.31,20.41
2018-03-08,20.15,20.65,20.26,20.36
2018-03-09,20,20.5,20.15,20.25
2018-03-10,20,20.5,20.15,20.25
2018-03-11,20,20.5,20.15,20.25
2018-03-12,19.95,20.45,20.1,20.2
2018-03-13,19.95,20.45,20.12,20.22
2018-03-14,19.95,20.45,20.13,20.23
2018-03-15,20.1,20.6,20.245,20.345
2018-03-16,19.95,20.45,20.1,20.2
2018-03-17,19.95,20.45,20.1,20.2
2018-03-18,19.95,20.45,20.1,20.2
2018-03-19,19.95,20.45,20.1,20.2
2018-03-20,20,20.5,20.165,20.265
2018-03-21,20.05,20.55,20.17,20.27
2018-03-22,20,20.5,20.125,20.225
2018-03-23,19.95,20.45,20.09,20.19
2018-03-24,19.95,20.45,20.09,20.19
2018-03-25,19.95,20.45,20.09,20.19
2018-03-26,19.95,20.45,20.09,20.19
2018-03-27,19.95,20.45,20.068,20.168
2018-03-28,19.9,20.4,20.049,20.149
2018-03-29,19.9,20.4,20.049,20.149
2018-03-30,19.9,20.4,20.049,20.149
2018-03-31,19.9,20.4,20.049,20.149
2018-04-01,19.9,20.4,20.049,20.149
2018-04-02,19.9,20.4,20.049,20.149
2018-04-03,19.9,20.4,20.08,20.18
2018-04-04,19.95,20.45,20.08,20.18
2018-04-05,19.95,20.45,20.1,20.2
2018-04-06,19.95,20.45,20.08,20.18
2018-04-07,19.95,20.45,20.08,20.18
2018-04-08,19.95,20.45,20.08,20.18
2018-04-09,19.95,20.45,20.09,20.19
2018-04-10,19.95,20.45,20.06,20.16
2018-04-11,19.9,20.4,20.068,20.168
2018-04-12,19.95,20.45,20.11,20.21
2018-04-13,19.95,20.45,20.12,20.22
2018-04-14,19.95,20.45,20.12,20.22
2018-04-15,19.95,20.45,20.12,20.22
2018-04-16,19.95,20.45,20.12,20.22
2018-04-17,19.95,20.45,20.08,20.18
2018-04-18,19.95,20.45,20.035,20.135
2018-04-19,19.9,20.4,20.06,20.16
2018-04-20,19.95,20.45,20.09,20.19
2018-04-21,19.95,20.45,20.09,20.19
2018-04-22,19.95,20.45,20.09,20.19
2018-04-23,20,20.5,20.16,20.26
2018-04-24,20,20.5,20.16,20.26
2018-04-25,20,20.5,20.152,20.252
2018-04-26,20.3,20.8,20.45,20.55
2018-04-27,20.3,20.8,20.44,20.54
2018-04-28,20.3,20.8,20.44,20.54
2018-04-29,20.3,20.8,20.44,20.54
2018-04-30,20.3,20.8,20.44,20.54
2018-05-01,20.3,20.8,20.44,20.54
2018-05-02,20.95,21.45,21.1,21.2
2018-05-03,22.7,23.3,22.9,23
2018-05-04,21.4,22.2,21.7,21.8
2018-05-05,21.4,22.2,21.7,21.8
2018-05-06,21.4,22.2,21.7,21.8
2018-05-07,21.5,22.3,21.86,21.96
2018-05-08,22,22.8,22.3,22.4
2018-05-09,22.3,23.1,22.62,22.72
2018-05-10,22.3,23.1,22.59,22.69
2018-05-11,22.7,23.7,23.16,23.26
2018-05-12,22.7,23.7,23.16,23.26
2018-05-13,22.7,23.7,23.16,23.26
2018-05-14,24.3,25.3,24.89,24.99
2018-05-15,23.5,24.5,23.95,24.05
2018-05-16,23.8,24.8,24.19,24.29
2018-05-17,23.8,24.8,24.22,24.32
2018-05-18,23.9,24.9,24.33,24.43
2018-05-19,23.9,24.9,24.33,24.43
2018-05-20,23.9,24.9,24.33,24.43
2018-05-21,23.9,24.9,24.289,24.389
2018-05-22,23.8,24.8,24.18,24.28
2018-05-23,23.9,24.9,24.375,24.475
2018-05-24,24.1,25.1,24.5,24.6
2018-05-25,24.1,25.1,24.5,24.6
2018-05-26,24.1,25.1,24.5,24.6
2018-05-27,24.1,25.1,24.5,24.6
2018-05-28,24.2,25.2,24.61,24.71
2018-05-29,24.4,25.4,24.74,24.84
2018-05-30,24.4,25.4,24.83,24.93
2018-05-31,24.4,25.4,24.86,24.96
2018-06-01,24.4,25.4,24.875,24.975
2018-06-02,24.4,25.4,24.875,24.975
2018-06-03,24.4,25.4,24.875,24.975
2018-06-04,24.4,25.4,24.87,24.97
2018-06-05,24.4,25.4,24.86,24.96
2018-06-06,24.4,25.4,24.8,24.9
2018-06-07,24.4,25.4,24.885,24.985
2018-06-08,24.8,25.8,25.21,25.31
2018-06-09,24.8,25.8,25.21,25.31
2018-06-10,24.8,25.8,25.21,25.31
2018-06-11,25.5,26.5,25.9,26
2018-06-12,25.3,26.3,25.65,25.75
2018-06-13,25.5,26.5,25.9,26
2018-06-14,27.2,28.2,27.6,27.7
2018-06-15,27.8,28.8,28.25,28.35
2018-06-16,27.8,28.8,28.25,28.35
2018-06-17,27.8,28.8,28.25,28.35
2018-06-18,27.1,28.1,27.48,27.58
2018-06-19,27.2,28.2,27.66,27.76
2018-06-20,27.2,28.2,27.66,27.76
2018-06-21,27,28,27.4,27.5
2018-06-22,26.5,27.5,26.91,27.01
2018-06-23,26.5,27.5,26.91,27.01
2018-06-24,26.5,27.5,26.91,27.01
2018-06-25,26.5,27.5,26.99,27.09
2018-06-26,26.6,27.6,27,27.1
2018-06-27,26.9,27.9,27.34,27.44
2018-06-28,27.6,28.6,28,28.1
2018-06-29,28.4,29.4,28.75,28.85
2018-06-30,28.4,29.4,28.75,28.85
2018-07-01,28.4,29.4,28.75,28.85
2018-07-02,27.8,28.8,28.2,28.3
2018-07-03,27.3,28.3,27.7,27.8
2018-07-04,27.6,28.6,27.97,28.07
2018-07-05,27.5,28.5,27.95,28.05
2018-07-06,27.4,28.4,27.8,27.9
2018-07-07,27.4,28.4,27.8,27.9
2018-07-08,27.4,28.4,27.8,27.9
2018-07-09,27.4,28.4,27.8,27.9
2018-07-10,26.8,27.8,27.27,27.37
2018-07-11,26.9,27.9,27.29,27.39
2018-07-12,26.7,27.7,27.13,27.23
2018-07-13,26.7,27.7,27.11,27.21
2018-07-14,26.7,27.7,27.11,27.21
2018-07-15,26.7,27.7,27.11,27.21
2018-07-16,26.8,27.8,27.26,27.36
2018-07-17,27,28,27.45,27.55
2018-07-18,27.1,28.1,27.498,27.598
2018-07-19,27.2,28.2,27.659,27.759
2018-07-20,27.1,28.1,27.48,27.58
2018-07-21,27.1,28.1,27.48,27.58
2018-07-22,27.1,28.1,27.48,27.58
2018-07-23,27.1,28.1,27.52,27.62
2018-07-24,27,28,27.38,27.48
2018-07-25,26.9,27.9,27.29,27.39
2018-07-26,26.9,27.9,27.31,27.41
2018-07-27,26.9,27.9,27.225,27.325
2018-07-28,26.9,27.9,27.225,27.325
2018-07-29,26.9,27.9,27.225,27.325
2018-07-30,26.8,27.8,27.155,27.255
2018-07-31,26.9,27.9,27.31,27.41
2018-08-01,27,28,27.425,27.525
2018-08-02,27,28,27.35,27.45
2018-08-03,26.8,27.8,27.19,27.29
2018-08-04,26.8,27.8,27.19,27.29
2018-08-05,26.8,27.8,27.19,27.29
2018-08-06,26.9,27.9,27.23,27.33
2018-08-07,26.9,27.9,27.295,27.395
2018-08-08,27.1,28.1,27.55,27.65
2018-08-09,27.6,28.6,28.01,28.11
2018-08-10,28.7,29.7,29.15,29.25
2018-08-11,28.7,29.7,29.15,29.25
2018-08-12,28.7,29.7,29.15,29.25
2018-08-13,29.5,30.5,29.825,29.925
2018-08-14,29.1,30.1,29.51,29.61
2018-08-15,29.5,30.5,29.9,30
2018-08-16,29.3,30.3,29.74,29.84
2018-08-17,29.3,30.3,29.75,29.85
2018-08-18,29.3,30.3,29.75,29.85
2018-08-19,29.3,30.3,29.75,29.85
2018-08-20,29.3,30.3,29.75,29.85
2018-08-21,29.5,30.5,29.9,30
2018-08-22,29.7,30.7,30.15,30.25
2018-08-23,30,31,30.39,30.49
2018-08-24,30.4,31.4,30.8,30.9
2018-08-25,30.4,31.4,30.8,30.9
2018-08-26,30.4,31.4,30.8,30.9
2018-08-27,30.4,31.4,30.87,30.97
2018-08-28,30.9,31.9,31.25,31.35
2018-08-29,33.5,34.5,33.9,34
2018-08-30,37,38.2,37.5,37.6
2018-08-31,36.2,37.4,36.65,36.85
2018-09-01,36.2,37.4,36.65,36.85
2018-09-02,36.2,37.4,36.65,36.85
2018-09-03,36.8,38,37.2,37.4
2018-09-04,38.3,39.5,38.68,38.88
2018-09-05,37.8,39,38.2,38.4
2018-09-06,36.8,38,37.15,37.35
2018-09-07,36.4,37.6,36.79,36.99
2018-09-08,36.4,37.6,36.79,36.99
2018-09-09,36.4,37.6,36.79,36.99
2018-09-10,36.8,38,37.18,37.38
2018-09-11,37.3,38.5,37.741,37.941
2018-09-12,37.6,38.8,38.05,38.25
2018-09-13,38.9,40.1,39.35,39.55
2018-09-14,39.2,40.4,39.66,39.86
2018-09-15,39.2,40.4,39.66,39.86
2018-09-16,39.2,40.4,39.66,39.86
2018-09-17,39,40.2,39.33,39.53
2018-09-18,39.1,40.3,39.531,39.731
2018-09-19,38.6,39.8,39.01,39.21
2018-09-20,37.6,38.8,38,38.2
2018-09-21,36.6,37.8,36.95,37.15
2018-09-22,36.6,37.8,36.95,37.15
2018-09-23,36.6,37.8,36.95,37.15
2018-09-24,36.7,37.9,37.1,37.3
2018-09-25,37.5,38.7,37.9,38.1
2018-09-26,38,39.2,38.31,38.51
2018-09-27,38.8,40.6,39.5,39.7
2018-09-28,40.3,42.1,41.05,41.25
2018-09-29,40.3,42.1,41.05,41.25
2018-09-30,40.3,42.1,41.05,41.25
2018-10-01,38.7,40.5,39.4,39.6
2018-10-02,37.2,39,37.9,38.1
2018-10-03,36.8,38.6,37.49,37.69
2018-10-04,37.4,39.2,38.1,38.3
2018-10-05,36.9,38.7,37.64,37.84
2018-10-06,36.9,38.7,37.64,37.84
2018-10-07,36.9,38.7,37.64,37.84
2018-10-08,36.6,38.4,37.22,37.42
2018-10-09,36.2,38,36.92,37.12
2018-10-10,36.3,38.1,37.05,37.25
2018-10-11,35.7,37.5,36.37,36.57
2018-10-12,35.8,37.6,36.55,36.75
2018-10-13,35.8,37.6,36.55,36.75
2018-10-14,35.8,37.6,36.55,36.75
2018-10-15,35.8,37.6,36.55,36.75
2018-10-16,35.1,36.9,35.8,36
2018-10-17,35.3,37.1,35.98,36.18
2018-10-18,35.7,37.5,36.45,36.65
2018-10-19,35.7,37.5,36.34,36.54
2018-10-22,35.5,37.3,36.26,36.46
2018-10-23,35.7,37.5,36.39,36.59
2018-10-24,36.1,37.9,36.8,37
2018-10-25,35.9,37.7,36.59,36.79
2018-10-26,36,37.8,36.64,36.84
2018-10-27,36,37.8,36.64,36.84
2018-10-28,36,37.8,36.64,36.84
2018-10-29,36,37.8,36.7,36.9
2018-10-30,35.8,37.6,36.51,36.71
2018-10-31,35,36.8,35.75,35.95
2018-11-01,34.8,36.6,35.47,35.67
2018-11-02,34.6,36.4,35.29,35.49
2018-11-03,34.6,36.4,35.29,35.49
2018-11-04,34.6,36.4,35.29,35.49
2018-11-05,34.6,36.4,35.45,35.65
2018-11-06,34.6,36.4,35.45,35.65
